id,address,city,zip_code,beds,baths,sqft,year_built,list_price,monthly_rent,annual_taxes,annual_insurance,monthly_hoa,rehab_cost,arv
AZ-001,4218 W Northern Ave,Phoenix,85051,3,2,1450,1998,385000,2150,2390,1350,0,0,
AZ-002,1832 E Broadway Rd,Mesa,85204,3,2,1320,1985,349900,2050,2170,1290,0,12000,395000
AZ-003,3110 E Fort Lowell Rd,Tucson,85716,4,2,1860,1974,319000,2800,1978,1420,0,9000,355000
AZ-004,7011 N 55th Dr,Glendale,85301,4,2,1780,2003,425000,2400,2640,1480,45,0,
AZ-005,920 E Apache Blvd,Tempe,85281,2,2,1050,2006,369000,1950,2290,1240,185,0,
AZ-006,3344 W Chandler Blvd,Chandler,85226,4,3,2240,2011,549000,2850,3400,1720,95,0,
AZ-007,15620 N Reems Rd,Surprise,85379,3,2,1510,2005,335000,1950,2080,1300,60,0,
AZ-008,1105 E Cottonwood Ln,Casa Grande,85122,3,2,1395,1996,259900,1650,1610,1150,0,15000,305000
AZ-009,2870 S Avenue B,Yuma,85364,3,2,1240,1988,239000,1500,1480,1120,0,6500,268000
AZ-010,4501 E Soliere Ave,Flagstaff,86004,3,2,1600,2008,625000,2700,3880,1900,140,0,
AZ-011,1420 W Mohave St,Phoenix,85007,3,1,980,1954,189000,1450,1172,980,0,42000,340000
AZ-012,5402 S 12th Ave,Tucson,85706,6,3,2520,1968,415000,3600,2573,1560,0,18000,470000
AZ-013,11245 W Buchanan St,Avondale,85323,4,2,1900,2004,379900,2250,2360,1390,55,22000,445000
