id,address,city,state,zip_code,beds,baths,sqft,year_built,list_price,monthly_rent,arv,rehab_cost,monthly_hoa,status
AZ-001,2216 W Roeser Rd,Phoenix,AZ,85041,4,2,1560,1998,289000,2150,368000,18000,0,Active
AZ-002,3418 E 33rd St,Tucson,AZ,85713,3,2,1240,1962,189000,1450,241000,15000,0,Active
AZ-003,1105 E Cottonwood Ln,Casa Grande,AZ,85122,4,2,1820,2005,262000,1720,309000,6000,0,Active
AZ-004,8420 W Northern Ave,Glendale,AZ,85301,3,2,1310,1979,299000,1150,313000,9000,0,Active
AZ-005,2870 S Avenue B,Yuma,AZ,85364,3,2,1425,1988,234000,1280,266000,12000,0,Active
AZ-006,6725 N Highway 95,Bullhead City,AZ,86442,3,2,1350,1996,231000,1425,274000,7500,0,Active
AZ-007,1420 W Mohave St,Phoenix,AZ,85009,2,1,940,1954,219000,1200,280000,22000,0,Active
AZ-008,3110 E Fort Lowell Rd,Tucson,AZ,85705,3,1,1180,1971,209000,1150,257000,9000,0,Active
AZ-009,1560 S Bella Vista Dr,Sierra Vista,AZ,85635,3,2,1490,2001,244000,1290,271000,5000,0,Active
AZ-010,9822 E Broadway Ave,Mesa,AZ,85201,3,2,1425,1983,349000,1350,360000,11000,0,Active
AZ-011,512 N Humphreys St,Flagstaff,AZ,86001,3,2,1680,1972,615000,2050,675000,25000,0,Active
AZ-012,3005 Willow Creek Rd,Prescott,AZ,86301,3,2,1580,1994,498000,1975,541000,14000,0,Active
AZ-013,22945 W Yavapai St,Buckeye,AZ,85326,4,2.5,2010,2007,331000,1950,372000,8000,0,Active
AZ-014,2765 W Superstition Blvd,Apache Junction,AZ,85120,3,2,1404,1985,312000,1800,356000,16000,0,Active
AZ-015,1885 W Frye Rd,Chandler,AZ,85224,3,2,1590,1999,429000,1780,457000,6000,95,Active
